Indicação de data e hora,Qual o melhor candidato pro PSOL em 2014?,Qual o pré-candidato do PSOL que melhor ecoa as vozes das ruas após as jornadas de Junho/Outubro?,,Qual o melhor pré-candidato apontado pelo PSOL no que tange ao Ecossocialismo?,Qual o melhor pré-candidato apontado pelo PSOL no que tange a questão de gênero?,Qual o melhor pré-candidato apontado pelo PSOL com relação à questão LGBT?,Qual o melhor pré-candidato apontado pelo PSOL no que se relaciona com a questão racial/Negros de Negras?,Qual o melhor pré-candidato apontado pelo PSOL no que tange à questão da legalização das drogas?,Qual o melhor pré-candidato apontado pelo PSOL com relação à disciplina partidária e relação com a base e instâncias?,O congresso foi legítimo?,O processo de escolha do candidato a presidente no congresso foi legítimo?,"Se você acha que o congresso foi legítimo, quem você acha que é o melhor candidato a presidente pelo PSOL? ","Se você acha que o congresso foi ilegítimo, quem você acha que é o melhor candidato a presidente pelo PSOL? ",,"Se você acha que o processo de escolha do candidato a presidente no congresso foi legítimo, quem você acha que é o melhor candidato a presidente pelo PSOL?","Se você acha que o processo de escolha do candidato a presidente no congresso foi ilegítimo, quem você acha que é o melhor candidato a presidente pelo PSOL?"
07/12/2013 15:55:32,Chico Alencar,Renato Roseno,,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Renato Roseno,Não,Não e devemos resistir ao candidato pois a militância tem de ser ouvida através de prévias,,Chico Alencar,,,Chico Alencar
12/12/2013 18:44:11,Chico Alencar,Chico Alencar,,Não Sabe/Não Respondeu/Não quer Responder,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL","Não, mas devemos parar de conflito para construir o PSOL",,Chico Alencar,,,Chico Alencar
07/12/2013 13:22:12,Chico Alencar,Renato Roseno,,Renato Roseno,Chico Alencar,Chico Alencar,Chico Alencar,Renato Roseno,Chico Alencar,"Não, mas temos de assumir o resultado para construir o PSOL","Não, mas devemos parar de conflito para construir o PSOL",,Chico Alencar,,,Chico Alencar
15/12/2013 00:48:30,Chico Alencar,Chico Alencar,,Chico Alencar,Nenhum dos apontados,Chico Alencar,Chico Alencar,Nenhum dos apontados,Chico Alencar,Sim,Não,Chico Alencar,,,,Chico Alencar
06/12/2013 22:27:39,Chico Alencar,Chico Alencar,,Chico Alencar,Luciana Genro,Renato Roseno,Chico Alencar,Chico Alencar,Renato Roseno,Não,Não,Chico Alencar,Luciana Genro,,Luciana Genro,Luciana Genro
12/12/2013 20:30:34,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Luciana Genro,Chico Alencar,Luciana Genro,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
14/12/2013 22:04:07,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
15/12/2013 17:20:37,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
06/12/2013 22:56:44,Luciana Genro,Luciana Genro,,Renato Roseno,Luciana Genro,Não Sabe/Não Respondeu/Não quer responder,Nenhum dos apontados,Luciana Genro,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
09/12/2013 22:55:17,Luciana Genro,Luciana Genro,,Não Sabe/Não Respondeu/Não quer Responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Não Sabe/Não Respondeu/Não quer responder,Luciana Genro,Não,Não,Luciana Genro,Luciana Genro,,Luciana Genro,Luciana Genro
